Movie,trunc,Share Of Number One Market,Number One Market
Avatar,Avatar,11.9%,China
Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the,0.6%,Ecuador
Harry Potter and the Half-Blood Prince,Harry Potter and the,10.6%,United Kingdom
2012,2012,3.1%,Australia
Up,Up,1.6%,South Korea
Transformers: Revenge of the Fallen,Transformers: Reveng,8.0%,Australia
The Twilight Saga: New Moon,The Twilight Saga: N,8.8%,Australia
Angels & Demons,Angels & Demons,0.0%,Turkey
Sherlock Holmes,Sherlock Holmes,,
Terminator Salvation,Terminator Salvation,0.3%,Portugal
Night at the Museum: Battle of the Smithsonian,Night at the Museum:,,
Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmu,,
Fast & Furious,Fast & Furious,0.0%,New Zealand
Inglourious Basterds,Inglourious Basterds,5.0%,Australia
X-Men Origins: Wolverine,X-Men Origins: Wolve,,
Michael Jackson's This Is It,Michael Jackson's Th,3.6%,China
The Hangover,The Hangover,7.8%,Australia
Monsters vs. Aliens,Monsters vs. Aliens,,
Disney’s A Christmas Carol,Disney’s A Christmas,0.0%,New Zealand
G-Force,G-Force,0.0%,New Zealand
The Princess and the Frog,The Princess and the,2.6%,Australia
G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise o,,
The Proposal,The Proposal,,
Star Trek,Star Trek,,Australia
The Final Destination,The Final Destinatio,4.4%,Australia
Red Cliff,Red Cliff,,
The Ugly Truth,The Ugly Truth,,
Public Enemies,Public Enemies,,
Cloudy with a Chance of Meatballs,Cloudy with a Chance,5.8%,Germany
It’s Complicated,It’s Complicated,,
Knowing,Knowing,,
District 9,District 9,,
Män som hatar kvinnor,Män som hatar kvinno,,Canada
Hannah Montana the Movie,Hannah Montana the M,,
He's Just Not That Into You,He's Just Not That I,,
Invictus,Invictus,,
The Taking of Pelham 123,The Taking of Pelham,,
Paranormal Activity,Paranormal Activity,8.8%,Australia
Earth,Earth,,
Up in the Air,Up in the Air,,
Surrogates,Surrogates,,
Watchmen,Watchmen,,
Brüno,Brüno,,
17 Again,17 Again,0.5%,China
Planet 51,Planet 51,0.3%,Argentina
Confessions of a Shopaholic,Confessions of a Sho,,
Couples Retreat,Couples Retreat,15.8%,Australia
3 Idiots,3 Idiots,93.0%,India
Jiàn gúo dà yè,Jiàn gúo dà yè,,
Flickan som lekte med elden,Flickan som lekte me,,Canada
Law Abiding Citizen,Law Abiding Citizen,,
Fame,Fame,6.7%,South Korea
The Imaginarium of Doctor Parnassus,The Imaginarium of D,,
Bride Wars,Bride Wars,,
Wickie und die starken Männer,Wickie und die stark,,
State of Play,State of Play,,
My Bloody Valentine,My Bloody Valentine,,
Did You Hear About the Morgans?,Did You Hear About t,,
The Lovely Bones,The Lovely Bones,,
Coraline,Coraline,25.0%,United Kingdom
The Blind Side,The Blind Side,,
Inkheart,Inkheart,,
Drag Me To Hell,Drag Me To Hell,0.0%,New Zealand
Hotel for Dogs,Hotel for Dogs,,
My Sister's Keeper,My Sister's Keeper,,
Ghosts of Girlfriends Past,Ghosts of Girlfriend,,
Dragonball Evolution,Dragonball Evolution,,
Desu Noto 2,Desu Noto 2,,
Underworld 3: Rise of the Lycans,Underworld 3: Rise o,,
Take Off,Take Off,,
Old Dogs,Old Dogs,,
Home,Home,49.5%,United Kingdom
Coco avant Chanel,Coco avant Chanel,,
Saw VI,Saw VI,,
Pokemon 2009,Pokemon 2009,,
Duplicity,Duplicity,,
Paul Blart: Mall Cop,Paul Blart: Mall Cop,,
The Time Traveler's Wife,The Time Traveler's ,,
Race to Witch Mountain,Race to Witch Mounta,,
Julie & Julia,Julie & Julia,,
Nine,Nine,,
Orphan,Orphan,,
Gomorra,Gomorra,,
The Unborn,The Unborn,,
The Men Who Stare at Goats,The Men Who Stare at,,
Aliens in the Attic,Aliens in the Attic,,
The Pink Panther 2,The Pink Panther 2,,
The Hurt Locker,The Hurt Locker,3.6%,South Korea
Yomei Ikkagetsu no Hanayome,Yomei Ikkagetsu no H,,
Chi Bi Juezhan Tianxia,Chi Bi Juezhan Tianx,,
Entre les murs,Entre les murs,,
St. Trinian’s,St. Trinian’s,,
Whatever Works,Whatever Works,,
The Boat That Rocked,The Boat That Rocked,,
The International,The International,,
Friday the 13th,Friday the 13th,3.1%,Australia
Yattàman,Yattàman,,
Zombieland,Zombieland,,
Cirque du Freak: The Vampire's Assistant,Cirque du Freak: The,,
Fantastic Mr. Fox,Fantastic Mr. Fox,50.0%,United Kingdom
Tsurugidake: Ten no Ki,Tsurugidake: Ten no ,,
Defiance,Defiance,,
Ninja Assassin,Ninja Assassin,,
Das Weisse Band: Eine deutsche Kindergeschichte,Das Weisse Band: Ein,0.9%,Australia
The Haunting in Connecticut,The Haunting in Conn,0.2%,Bolivia
The Fourth Kind,The Fourth Kind,,
Kambakkht Ishq,Kambakkht Ishq,,
The Accidental Husband,The Accidental Husba,,
Chernaya Molniya,Chernaya Molniya,,
Ip Man,Ip Man,2.7%,South Korea
Astro Boy,Astro Boy,0.1%,South Korea
Where the Wild Things Are,Where the Wild Thing,,Australia
Crank 2: High Voltage,Crank 2: High Voltag,,
Se Eu Fosse Voce 2,Se Eu Fosse Voce 2,,
Wild Child,Wild Child,,
Gamer,Gamer,,
Eiga doraemon: Shin. Nobita no uchû kaitakushi,Eiga doraemon: Shin.,,
Love Aaj Kal,Love Aaj Kal,,
Precious (Based on the Novel Push by Sapphire),Precious (Based on t,,
A Serious Man,A Serious Man,,Australia
The Road,The Road,,
The Young Victoria,The Young Victoria,,
Chilgeup gongmuwon,Chilgeup gongmuwon,,
"I Love You, Man","I Love You, Man",,
Land of the Lost,Land of the Lost,,
Funny People,Funny People,,
Nanjing! Nanjing!,Nanjing! Nanjing!,,
Neuilly Sa Mère,Neuilly Sa Mère,,
The Box,The Box,,
A Single Man,A Single Man,0.7%,South Korea
Dorian Gray,Dorian Gray,,
Easy Virtue,Easy Virtue,,
Push,Push,,
High Security Vacation,High Security Vacati,,
Madeo,Madeo,98.7%,South Korea
An Education,An Education,,
Delhi 6,Delhi 6,,
9,9,,
Brothers,Brothers,,
Running Turtle,Running Turtle,,
Jennifer's Body,Jennifer's Body,0.0%,New Zealand
Celda 211,Celda 211,,
Ajab Prem Ki Ghazab Kahani,Ajab Prem Ki Ghazab ,,
Obitaemyy ostrov,Obitaemyy ostrov,,
Sorority Row,Sorority Row,,
Männersache,Männersache,,
