Movie,trunc,Share Of Number One Market,Number One Market
Pirates of the Caribbean: At World’s End,Pirates of the Carib,14.8%,Japan
Harry Potter and the Order of the Phoenix,Harry Potter and the,10.0%,United Kingdom
Spider-Man 3,Spider-Man 3,7.8%,United Kingdom
Shrek the Third,Shrek the Third,0.0%,New Zealand
Ratatouille,Ratatouille,0.0%,Netherlands
Transformers,Transformers,9.2%,South Korea
The Simpsons Movie,The Simpsons Movie,0.0%,Australia
I am Legend,I am Legend,0.0%,Turkey
The Golden Compass,The Golden Compass,,
Live Free or Die Hard,Live Free or Die Har,,
300,300,4.1%,Australia
National Treasure: Book of Secrets,National Treasure: B,2.7%,Australia
The Bourne Ultimatum,The Bourne Ultimatum,5.5%,South Korea
Enchanted,Enchanted,0.0%,Australia
Mr. Bean’s Holiday,Mr. Bean’s Holiday,,
Ocean's Thirteen,Ocean's Thirteen,,
Bee Movie,Bee Movie,6.3%,Australia
Fantastic Four: Rise of the Silver Surfer,Fantastic Four: Rise,,
Alvin and the Chipmunks,Alvin and the Chipmu,,
American Gangster,American Gangster,,
Rush Hour 3,Rush Hour 3,,
Ghost Rider,Ghost Rider,,
Beowulf,Beowulf,5.4%,Australia
P.S. I Love You,P.S. I Love You,,
Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The De,,
Resident Evil: Extinction,Resident Evil: Extin,,
Stardust,Stardust,,
Arthur et les Minimoys,Arthur et les Minimo,,
Music and Lyrics,Music and Lyrics,6.5%,South Korea
The Heartbreak Kid,The Heartbreak Kid,,
Gwoemul,Gwoemul,,
No Country for Old Men,No Country for Old M,0.7%,South Korea
Juno,Juno,10.4%,Australia
Aliens vs. Predator - Requiem,Aliens vs. Predator ,,
Surf's Up,Surf's Up,,
Wild Hogs,Wild Hogs,,
Hairspray,Hairspray,13.4%,Australia
The Bucket List,The Bucket List,2.3%,South Korea
Atonement,Atonement,3.3%,Australia
La Môme,La Môme,0.8%,South Korea
Evan Almighty,Evan Almighty,,
Meet the Robinsons,Meet the Robinsons,,
Saw IV,Saw IV,,
El orfanato,El orfanato,1.3%,South Korea
Knocked Up,Knocked Up,,
Das Leben der Anderen,Das Leben der Andere,0.4%,South Korea
Hero,Hero,,
Dragon Wars: D-War,Dragon Wars: D-War,,
I Now Pronounce You Chuck and Larry,I Now Pronounce You ,,
Norbit,Norbit,,
The Water Horse: Legend of the Deep,The Water Horse: Leg,,
Keinohrhasen,Keinohrhasen,,
Taxi 4,Taxi 4,,
Se jie,Se jie,19.5%,South Korea
Hitman,Hitman,6.0%,Australia
1408,1408,,
Elizabeth: The Golden Age,Elizabeth: The Golde,7.3%,Australia
The Kite Runner,The Kite Runner,,
Hot Fuzz,Hot Fuzz,50.4%,United Kingdom
The Game Plan,The Game Plan,,
Bridge to Terabithia,Bridge to Terabithia,,
Next,Next,,
Ironiya Sudby. Prodolzhenie,Ironiya Sudby. Prodo,,
Hannibal Rising,Hannibal Rising,,
Charlie Wilson's War,Charlie Wilson's War,,
Fracture,Fracture,,
Zodiac,Zodiac,1.9%,South Korea
Hwa-ryeo-han hyuga,Hwa-ryeo-han hyuga,,
No Reservations,No Reservations,,
Shooter,Shooter,,
Superbad,Superbad,0.0%,New Zealand
Lions for Lambs,Lions for Lambs,,
Epic Movie,Epic Movie,,
Michael Clayton,Michael Clayton,,
The Number 23,The Number 23,,
TMNT,TMNT,,
30 Days of Night,30 Days of Night,,
Pokemon 2007: Diamond & Pearl,Pokemon 2007: Diamon,,
The Kingdom,The Kingdom,0.0%,United Kingdom
Eastern Promises,Eastern Promises,,
Perfect Stranger,Perfect Stranger,,
Death at a Funeral,Death at a Funeral,23.8%,Australia
Into the Wild,Into the Wild,4.7%,Australia
Dnevnoy dozor,Dnevnoy dozor,,
Disturbia,Disturbia,,
The Reaping,The Reaping,,
There Will Be Blood,There Will Be Blood,0.7%,Portugal
Natale in Crociera,Natale in Crociera,,
Premonition,Premonition,,
Mr. Magorium's Wonder Emporium,Mr. Magorium's Wonde,9.8%,Australia
28 Weeks Later,28 Weeks Later,20.4%,United Kingdom
Om Shanti Om,Om Shanti Om,0.0%,New Zealand
Monkey Magic,Monkey Magic,,
Always zoku san-chôme no yûhi,Always zoku san-chôm,,
The Brave One,The Brave One,,
August Rush,August Rush,39.4%,South Korea
The Mist,The Mist,,
Sky of Love,Sky of Love,,
Una Moglie Bellissima,Una Moglie Bellissim,,
Sunshine,Sunshine,14.5%,United Kingdom
Samyy luchshiy film,Samyy luchshiy film,,
