Movie,trunc,Share Of Number One Market,Number One Market
Avengers: Endgame,Avengers: Endgame,30.0%,China
The Lion King,The Lion King,10.8%,China
Frozen II,Frozen II,12.9%,China
Joker,Joker,9.8%,United Kingdom
Spider-Man: Far From Home,Spider-Man: Far From,27.7%,China
Ne Zha (哪吒之魔童降世),Ne Zha (),91.1%,China
Captain Marvel,Captain Marvel,21.9%,China
Aladdin,Aladdin,16.4%,Japan
Toy Story 4,Toy Story 4,14.5%,Japan
The Wandering Earth (流浪地球),The Wandering Earth ,99.7%,China
Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Prese,34.3%,China
Star Wars: The Rise of Skywalker,Star Wars: The Rise ,13.6%,United Kingdom
Jumanji: The Next Level,Jumanji: The Next Le,9.8%,United Kingdom
"My People, My Country (我和我的祖国)","My People, My Countr",99.6%,China
Maleficent: Mistress of Evil,Maleficent: Mistress,13.0%,China
Zhongguo jizhang,Zhongguo jizhang,99.8%,China
How to Train Your Dragon: The Hidden World,How to Train Your Dr,15.2%,China
Alita: Battle Angel,Alita: Battle Angel,42.2%,China
Crazy Alien (疯狂的外星人),Crazy Alien (),100.0%,China
Pokémon: Detective Pikachu,Pokémon: Detective P,32.4%,China
The Secret Life of Pets 2,The Secret Life of P,8.7%,Russia (CIS)
Godzilla: King of the Monsters,Godzilla: King of th,49.0%,China
It: Chapter Two,It: Chapter Two,8.8%,United Kingdom
Fei Chi Ren Sheng,Fei Chi Ren Sheng,99.9%,China
Lie huo ying xiong,Lie huo ying xiong,99.7%,China
Dumbo,Dumbo,14.9%,United Kingdom
Once Upon a Time…in Hollywood,Once Upon a Time…in ,11.1%,United Kingdom
Shao Nian De Ni,Shao Nian De Ni,98.8%,China
Shazam!,Shazam!,19.4%,China
1917,1917,24.8%,United Kingdom
Parasite (기생충),Parasite (),35.7%,South Korea
Wu Sha,Wu Sha,100.0%,China
Yip Man 4,Yip Man 4,91.1%,China
Weathering with You (天気の子),Weathering with You ,72.9%,Japan
Terminator: Dark Fate,Terminator: Dark Fat,26.9%,China
The White Storm 2: Drug Lords,The White Storm 2: D,99.9%,China
Dark Phoenix,Dark Phoenix,32.7%,China
Men in Black: International,Men in Black: Intern,25.5%,China
Pan Deng Zhe,Pan Deng Zhe,99.8%,China
Annabelle Comes Home,Annabelle Comes Home,10.5%,Mexico
John Wick: Chapter 3 — Parabellum,John Wick: Chapter 3,8.7%,United Kingdom
Knives Out,Knives Out,19.1%,China
Glass,Glass,10.5%,United Kingdom
Abominable,Abominable,16.4%,China
Yin He Bu Xi Ban,Yin He Bu Xi Ban,99.9%,China
Gemini Man,Gemini Man,27.4%,China
Meitantei Conan: Konjo no Fisuto,Meitantei Conan: Kon,68.9%,Japan
Fan Tan Feng Bao 4,Fan Tan Feng Bao 4,99.4%,China
Geukhanjikeob,Geukhanjikeob,99.7%,South Korea
Boonie Bears: Blast Into The Past,Boonie Bears: Blast ,98.5%,China
Little Women,Little Women,25.6%,United Kingdom
The Angry Birds Movie 2,The Angry Birds Movi,20.5%,China
Ford v. Ferrari,Ford v. Ferrari,10.5%,Russia (CIS)
The Addams Family,The Addams Family,13.3%,Russia (CIS)
Chong Ai,Chong Ai,99.9%,China
Escape Room,Escape Room,34.7%,China
Spies in Disguise,Spies in Disguise,15.3%,China
Shi Tu Xing Zhe 2 Die Ying Xing Dong,Shi Tu Xing Zhe 2 Di,99.9%,China
Downton Abbey,Downton Abbey,37.4%,United Kingdom
Rocketman,Rocketman,34.0%,United Kingdom
Xīn xǐjù zhī wáng,Xīn xǐjù zhī wáng,100.0%,China
Last Christmas,Last Christmas,27.7%,United Kingdom
Qu'est-ce qu'on a encore fait au bon dieu?,Qu'est-ce qu'on a en,61.7%,France
The LEGO Movie 2: The Second Part,The LEGO Movie 2: Th,27.3%,United Kingdom
Ad Astra,Ad Astra,10.2%,France
One Piece: Stampede (劇場版),One Piece: Stampede ,57.4%,Japan
Yesterday,Yesterday,23.8%,United Kingdom
Us,Us,16.2%,United Kingdom
The Gentlemen,The Gentlemen,27.3%,Russia (CIS)
Midway,Midway,60.2%,China
Wonder Park,Wonder Park,16.4%,France
The Curse of La Llorona,The Curse of La Llor,15.8%,Mexico
ek-si-teu,ek-si-teu,99.8%,South Korea
White Snake (白蛇：缘起),White Snake (：),100.0%,China
Angel Has Fallen,Angel Has Fallen,14.9%,United Kingdom
Eiga Doraemon: Nobita no Getsumen Tansaki,Eiga Doraemon: Nobit,70.2%,Japan
The Hustle,The Hustle,9.9%,Germany
Dora and the Lost City of Gold,Dora and the Lost Ci,14.3%,United Kingdom
Wo Wei Xiong Di Kuang,Wo Wei Xiong Di Kuan,99.6%,China
Baekdusan,Baekdusan,96.4%,South Korea
Pet Sematary,Pet Sematary,11.8%,France
Zhu Xian,Zhu Xian,100.0%,China
Das Perfekte Geheimnis,Das Perfekte Geheimn,98.1%,Germany
A Dog’s Journey,A Dog’s Journey,52.0%,China
Da Ren Wu,Da Ren Wu,100.0%,China
Charlie’s Angels,Charlie’s Angels,19.5%,China
Jojo Rabbit,Jojo Rabbit,19.5%,United Kingdom
Crawl,Crawl,19.9%,China
Zombieland: Double Tap,Zombieland: Double T,11.1%,United Kingdom
Song of Youth,Song of Youth,100.0%,China
Kholop,Kholop,99.6%,Russia (CIS)
Kingudamu,Kingudamu,99.7%,Japan
Saaho,Saaho,97.8%,India
Cats,Cats,30.9%,United Kingdom
Shaun the Sheep Movie: Farmageddon,Shaun the Sheep Movi,19.3%,United Kingdom
Five Feet Apart,Five Feet Apart,12.1%,Germany
Rambo: Last Blood,Rambo: Last Blood,9.7%,France
After,After,21.6%,Germany
Zhui Long 2: Zhui Ji Da Fu Hao,Zhui Long 2: Zhui Ji,97.3%,China
Hustlers,Hustlers,20.2%,United Kingdom
Luo Xiaohei zhan ji,Luo Xiaohei zhan ji,91.9%,China
Masukarêdo hoteru,Masukarêdo hoteru,94.1%,Japan
Doctor Sleep,Doctor Sleep,10.8%,Russia (CIS)
Wei Da De Yuan Wang,Wei Da De Yuan Wang,99.8%,China
Minha Mãe é uma Peça 3: O Filme,Minha Mãe é uma Peça,100.0%,Brazil
A Dog’s Way Home,A Dog’s Way Home,13.7%,China
Fan Zui Xian Chang,Fan Zui Xian Chang,97.6%,China
Happy Death Day 2U,Happy Death Day 2U,8.3%,South Korea
Warriors of Honor,Warriors of Honor,100.0%,China
Scary Stories to Tell in the Dark,Scary Stories to Tel,21.8%,Mexico
The Confidence Man JP -The Movie-,The Confidence Man J,100.0%,Japan
Dolor y gloria,Dolor y gloria,19.9%,Spain
