Movie,trunc,Share Of Number One Market,Number One Market
Barbie,Barbie,15.9%,United Kingdom
The Super Mario Bros. Movie,The Super Mario Bros,12.7%,Japan
Oppenheimer,Oppenheimer,11.7%,United Kingdom
Full River Red (满江红),Full River Red (),99.9%,China
Fast X,Fast X,23.8%,China
The Wandering Earth 2 (流浪地球2),The Wandering Earth ,99.5%,China
No More Bets (孤注一掷),No More Bets (),99.8%,China
Guardians of the Galaxy Vol 3,Guardians of the Gal,17.9%,China
Lost in the Stars (消失的她),Lost in the Stars (),99.8%,China
Wonka,Wonka,19.3%,United Kingdom
Mission: Impossible Dead Reckoning Part One,Mission: Impossible ,12.1%,China
Creation of the Gods I: Kindom of Storms (封神第一部…,Creation of the Gods,99.7%,China
Elemental,Elemental,16.4%,South Korea
Meg 2: The Trench,Meg 2: The Trench,36.9%,China
Aquaman and the Lost Kingdom,Aquaman and the Lost,20.5%,China
Spider-Man: Across the Spider-Verse,Spider-Man: Across t,16.0%,China
Bā Jiǎo Lóng Zhōng (八角笼中),Bā Jiǎo Lóng Zhōng (,100.0%,China
Transformers: Rise of the Beasts,Transformers: Rise o,31.8%,China
The Little Mermaid,The Little Mermaid,12.8%,United Kingdom
Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp,15.1%,China
John Wick: Chapter 4,John Wick: Chapter 4,8.1%,United Kingdom
The Boy and the Heron (君たちはどう生きるか)…,The Boy and the Hero,45.1%,China
Cháng Ān Sān Wàn Lǐ (长安三万里),Cháng Ān Sān Wàn Lǐ ,100.0%,China
Boonie Bears: Guardian Code (熊出没·伴我“熊芯”)…,Boonie Bears: Guardi,99.8%,China
Indiana Jones and the Dial of Destiny,Indiana Jones and th,12.3%,United Kingdom
Under the Light (坚如磐石),Under the Light (),99.9%,China
The Nun II,The Nun II,11.5%,Mexico
The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: Th,12.7%,United Kingdom
Johnny Keep Walking (年会不能停！),Johnny Keep Walking ,99.9%,China
Rén Shēng Lù Bù Shú (人生路不熟),Rén Shēng Lù Bù Shú ,100.0%,China
Wish,Wish,13.2%,Japan
Migration,Migration,15.3%,United Kingdom
The Flash,The Flash,15.9%,China
Five Nights at Freddy’s,Five Nights at Fredd,14.0%,Mexico
Napoleon,Napoleon,11.7%,United Kingdom
Ex File 4 (前任4：英年早婚),Ex File 4 (4：),99.7%,China
PAW Patrol: The Mighty Movie,PAW Patrol: The Migh,14.1%,China
Shēn Hǎi (深海),Shēn Hǎi (),100.0%,China
Anyone But You,Anyone But You,12.3%,Germany
Wú Míng (无名),Wú Míng (),99.7%,China
Detective Conan: Black Iron Submarine,Detective Conan: Bla,76.2%,Japan
The Marvels,The Marvels,12.7%,China
Jawan,Jawan,65.7%,India
Creed III,Creed III,14.7%,United Kingdom
One and Only (热烈),One and Only (),99.9%,China
Volunteer Soldiers Attack (志愿军：雄兵出击)…,Volunteer Soldiers A,100.0%,China
Dungeons & Dragons: Honor Among Thieves,Dungeons & Dragons: ,15.0%,United Kingdom
Cháng Kōng Zhī Wáng (长空之王),Cháng Kōng Zhī Wáng ,99.8%,China
Trolls Band Together,Trolls Band Together,17.9%,United Kingdom
Insidious: The Red Door,Insidious: The Red D,13.5%,Mexico
Bǎo Nǐ Píng Ān (保你平安),Bǎo Nǐ Píng Ān (),100.0%,China
The Equalizer 3,The Equalizer 3,10.4%,United Kingdom
12.12: The Day (서울의 봄),12.12: The Day ( ),99.6%,South Korea
Shining For One Thing (一闪一闪亮星星),Shining For One Thin,99.9%,China
Moscow Mission (莫斯科行动),Moscow Mission (),99.8%,China
Endless Journey (三大队),Endless Journey (),99.9%,China
