Movie,trunc,Share Of Number One Market,Number One Market
The Dark Knight,The Dark Knight,13.3%,United Kingdom
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and th,10.8%,United Kingdom
Mamma Mia!,Mamma Mia!,21.4%,United Kingdom
Quantum of Solace,Quantum of Solace,0.0%,United Kingdom
Madagascar: Escape 2 Africa,Madagascar: Escape 2,,
Kung Fu Panda,Kung Fu Panda,4.5%,Australia
Hancock,Hancock,,
WALL-E,WALL-E,2.5%,South Korea
The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of t,,
The Chronicles of Narnia: Prince Caspian,The Chronicles of Na,,
Iron Man,Iron Man,7.6%,South Korea
Sex and the City,Sex and the City,0.1%,Australia
Bienvenue chez les Ch'tis,Bienvenue chez les C,,Canada
Slumdog Millionaire,Slumdog Millionaire,4.9%,Australia
Bolt,Bolt,,
Twilight,Twilight,3.8%,South Korea
Wanted,Wanted,,
The Curious Case of Benjamin Button,The Curious Case of ,5.2%,South Korea
Gake no ue no Ponyo,Gake no ue no Ponyo,90.0%,Japan
High School Musical 3: Senior Year,High School Musical ,0.0%,Spain
"10,000 B.C.","10,000 B.C.",,
Australia,Australia,,
The Day the Earth Stood Still,The Day the Earth St,,
Horton Hears a Who,Horton Hears a Who,,
Jumper,Jumper,,
Journey to the Center of the Earth,Journey to the Cente,,
What Happens in Vegas...,What Happens in Vega,,
Astérix aux Jeux Olympiques,Astérix aux Jeux Oly,,Canada
The Incredible Hulk,The Incredible Hulk,,
Yes Man,Yes Man,,
Gran Torino,Gran Torino,,
Valkyrie,Valkyrie,,
Bedtime Stories,Bedtime Stories,,
Burn After Reading,Burn After Reading,7.1%,Australia
Marley & Me,Marley & Me,,
You Don't Mess With the Zohan,You Don't Mess With ,,
The Happening,The Happening,,
Seven Pounds,Seven Pounds,,
Get Smart,Get Smart,,
The Spiderwick Chronicles,The Spiderwick Chron,,
Cloverfield,Cloverfield,,
Step Up 2 the Streets,Step Up 2 the Street,,
Rookies,Rookies,,
Hellboy II: The Golden Army,Hellboy II: The Gold,,
27 Dresses,27 Dresses,,
Taken,Taken,15.9%,South Korea
Vicky Cristina Barcelona,Vicky Cristina Barce,,
Transporter 3,Transporter 3,,
Tropic Thunder,Tropic Thunder,0.0%,Australia
Body of Lies,Body of Lies,,
Eagle Eye,Eagle Eye,,
The Reader,The Reader,3.3%,South Korea
21,21,,
Vantage Point,Vantage Point,,
Changeling,Changeling,,
The Forbidden Kingdom,The Forbidden Kingdo,26.7%,China
Hana yori dango: Fainaru,Hana yori dango: Fai,,
Rambo,Rambo,0.0%,Czech Republic
The Dark Knight,The Dark Knight,100.0%,United Kingdom
Okuribito,Okuribito,16.0%,China
Saw V,Saw V,,
Made of Honor,Made of Honor,,
Beverly Hills Chihuahua,Beverly Hills Chihua,,
Revolutionary Road,Revolutionary Road,0.6%,South Korea
Nim's Island,Nim's Island,,
Suspect X,Suspect X,,
The Other Boleyn Girl,The Other Boleyn Gir,,
