Movie,trunc,Share Of Number One Market,Number One Market
Avengers: Infinity War,Avengers: Infinity W,26.3%,China
Jurassic World: Fallen Kingdom,Jurassic World: Fall,29.3%,China
Aquaman,Aquaman,34.4%,China
Bohemian Rhapsody,Bohemian Rhapsody,18.2%,Japan
Venom,Venom,42.0%,China
Incredibles 2,Incredibles 2,11.5%,United Kingdom
Black Panther,Black Panther,16.5%,China
Mission: Impossible—Fallout,Mission: Impossible—,31.9%,China
Detective Chinatown 2 (唐人街探案),Detective Chinatown ,81.2%,China
Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: Th,11.7%,Japan
Hong Hai Xing Dong,Hong Hai Xing Dong,99.8%,China
Deadpool 2,Deadpool 2,9.3%,United Kingdom
Wo Bi Shi Yao Shen,Wo Bi Shi Yao Shen,87.6%,China
Ready Player One,Ready Player One,49.8%,China
Ant-Man and the Wasp,Ant-Man and the Wasp,29.7%,China
The Meg,The Meg,39.7%,China
Zhuo yao ji 2,Zhuo yao ji 2,98.7%,China
Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3,9.1%,China
Bumblebee,Bumblebee,50.6%,China
Ralph Breaks The Internet,Ralph Breaks The Int,11.9%,China
Rampage,Rampage,48.6%,China
Xi Hong Shi Shou Fu,Xi Hong Shi Shou Fu,100.0%,China
Mamma Mia: Here We Go Again!,Mamma Mia: Here We G,31.9%,United Kingdom
Fifty Shades Freed,Fifty Shades Freed,12.4%,Germany
The Nun,The Nun,9.0%,Mexico
Peter Rabbit,Peter Rabbit,22.2%,United Kingdom
Dr. Seuss’ The Grinch,Dr. Seuss’ The Grinc,15.7%,United Kingdom
Skyscraper,Skyscraper,41.6%,China
Green Book,Green Book,29.7%,China
Pacific Rim: Uprising,Pacific Rim: Uprisin,43.1%,China
A Star is Born,A Star is Born,17.2%,United Kingdom
Tomb Raider,Tomb Raider,36.3%,China
Hou Lai De Wo Men,Hou Lai De Wo Men,100.0%,China
Maze Runner: The Death Cure,Maze Runner: The Dea,23.9%,China
Yi Chu Hao Xi,Yi Chu Hao Xi,99.8%,China
Wu Shuang,Wu Shuang,98.6%,China
Spider-Man: Into The Spider-Verse 3D,Spider-Man: Into The,33.8%,China
Solo: A Star Wars Story,Solo: A Star Wars St,14.4%,United Kingdom
Mary Poppins Returns,Mary Poppins Returns,32.4%,United Kingdom
Ocean’s 8,Ocean’s 8,9.4%,United Kingdom
Johnny English Strikes Again,Johnny English Strik,16.0%,China
Bi Bei Shang Geng Bei Shang De Gu Shi,Bi Bei Shang Geng Be,92.9%,China
A Quiet Place,A Quiet Place,23.5%,China
Smallfoot,Smallfoot,10.9%,France
How Long Will I Love U,How Long Will I Love,99.5%,China
Wu Wen Xi Dong,Wu Wen Xi Dong,100.0%,China
Huang Qiang Zou Ban,Huang Qiang Zou Ban,99.9%,China
The Nutcracker and the Four Realms,The Nutcracker and t,14.1%,China
Xi You Ji Nu Er Guo,Xi You Ji Nu Er Guo,99.9%,China
The Predator,The Predator,28.8%,China
Meitantei Conan: Zero no Shikkônin,Meitantei Conan: Zer,74.5%,Japan
Insidious: The Last Key,Insidious: The Last ,8.6%,Indonesia
Red Sparrow,Red Sparrow,11.4%,Germany
Christopher Robin,Christopher Robin,21.8%,Japan
Creed II,Creed II,14.9%,France
Xiong Chu Mei Zhi Bian Xing Ji,Xiong Chu Mei Zhi Bi,99.7%,China
Halloween,Halloween,12.9%,Mexico
Shou Ji Kuang Xiang,Shou Ji Kuang Xiang,99.9%,China
Dragon Ball Super: Broly,Dragon Ball Super: B,37.5%,Japan
Singwa Hamgge: Ingwa Yeon,Singwa Hamgge: Ingwa,99.5%,South Korea
Jing Zhou,Jing Zhou,99.5%,China
Di Ren Jie Zhi Si Da Tian Wang,Di Ren Jie Zhi Si Da,99.2%,China
The Equalizer 2,The Equalizer 2,10.9%,United Kingdom
Li Cha De Gu Ma,Li Cha De Gu Ma,99.9%,China
Xie Bu Ya Zheng,Xie Bu Ya Zheng,100.0%,China
The Commuter,The Commuter,8.7%,China
Ai qing gong yu,Ai qing gong yu,100.0%,China
Eiga Doraemon Nobita no Takarajima,Eiga Doraemon Nobita,59.0%,Japan
2.0,2.0,94.0%,India
Code Blue the Movie,Code Blue the Movie,100.0%,Japan
Dongwu shijie,Dongwu shijie,99.6%,China
Astérix: Le secret de la potion magique,Astérix: Le secret d,47.9%,France
"Li hai le, wo de guo","Li hai le, wo de guo",100.0%,China
The Mule,The Mule,21.3%,France
Mortal Engines,Mortal Engines,10.7%,China
